Versicherer;Land;Hoheitsgebiet;Geschäftsjahr;Erhebungsjahr;Region;Altersklasse;Altersuntergruppe;Unfalleinschluss;Prämie
8;EU FI;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;386
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;290.4
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;270.1
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;990
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;920.7
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;1320
8;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;1227.6
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;94.6
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;88
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;322.5
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;299.9
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;430
8;EU GB;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;399.9
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;59.4
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;55.2
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;202.5
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;188.3
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;270
8;EU GR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;251.1
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;48.4
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;45
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;165
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;153.5
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;220
8;EU HR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;204.6
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;72.6
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;67.5
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;247.5
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;230.2
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;330
8;EU HU;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;306.9
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;103.4
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;96.2
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;352.5
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;327.8
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;470
8;EU IE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;437.1
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;94.6
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;88
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;322.5
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;299.9
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;430
8;EU IS;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;399.9
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;88
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;81.8
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;300
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;279
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;400
8;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;372
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;36.3
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;33.8
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;123.8
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;115.1
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;165
8;EU LT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;153.5
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;123.2
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;114.6
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;420
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;390.6
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;560
8;EU LU;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;520.8
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;36.3
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;33.8
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;123.8
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;115.1
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;165
8;EU LV;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;153.5
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;39.6
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;36.8
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;135
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;125.6
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;180
8;EU MT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;167.4
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;167.2
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;155.5
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;570
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;530.1
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;760
8;EU NL;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;706.8
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;96.8
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;90
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;330
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;306.9
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;440
8;EU NO;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;409.2
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;39.6
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;36.8
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;135
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;125.6
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;180
8;EU PL;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;167.4
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;74.8
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;69.6
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;255
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;237.2
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;340
8;EU PT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;316.2
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;35.2
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;32.7
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;120
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;111.6
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;160
8;EU RO;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;148.8
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;94.6
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;88
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;322.5
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;299.9
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;430
8;EU SE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;399.9
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;46.2
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;43
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;157.5
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;146.5
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;210
8;EU SI;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;195.3
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;34.1
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;31.7
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;116.3
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;108.1
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;155
8;EU SK;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;144.2
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;122.4
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;61.2
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;57.5
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;115
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;391.8
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;368.3
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;489.7
32;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;460.3
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;114.5
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;57.3
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;53.8
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;107.6
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;366.1
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;344.3
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;457.7
32;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;430.3
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;58.8
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;117.6
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;110.4
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;55.2
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;376.1
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;353.5
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;470.1
32;EU ES;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;441.8
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;183.7
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;91.9
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;86.3
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;172.6
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;587.6
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;552.4
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;734.5
32;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;690.4
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;124.4
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;62.2
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;58.5
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;116.9
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;398
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;374.1
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;497.4
32;EU GB;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;467.6
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;57.6
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;115.2
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;108.3
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;54.2
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;368.6
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;346.6
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;460.7
32;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;433.2
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;116.1
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;58.1
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;54.6
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;109.2
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;371.4
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;349.5
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;464.2
32;EU NL;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;436.8
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;MIT-UNF;50.8
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;101.6
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;95.4
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-KIN;K3;OHN-UNF;47.7
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;324.7
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;305.2
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;405.8
32;EU PT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;381.4
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;77.7
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;72.3
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;287.4
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;267.3
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;310.7
57;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;289
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;87.6
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;81.5
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;273.7
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;254.6
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;364.9
182;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;339.4
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;58.1
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;54.1
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;181.5
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;168.8
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;241.9
182;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;225
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;83.8
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;78
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;261.7
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;243.4
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;348.9
182;EU FR;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;324.5
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;81.6
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;75.9
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;255
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;237.2
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;339.9
182;EU IT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;316.2
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;117.7
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;111.7
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;376.6
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;357.4
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;470.7
290;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;446.7
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;123.6
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;117.3
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;395.6
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;375.5
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;494.4
290;EU BE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;469.2
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;52.5
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;49.9
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;168
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;159.5
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;209.9
290;EU BG;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;199.2
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;52.5
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;49.9
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;168
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;159.5
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;209.9
290;EU CY;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;199.2
